Bruteforce ms;Recursive ms;Percentage
160;170;7,27307307307307
194;74;6,93793793793794
134;71;7,09089089089089
132;75;7,16416416416416
132;70;6,97097097097097
132;75;6,98358358358358
133;74;6,77737737737738
176;72;7,01981981981982
131;70;6,77797797797798
132;75;6,75535535535536
133;69;6,74274274274274
132;77;6,52492492492492
131;74;6,42782782782783
131;68;6,54254254254254
131;74;6,35075075075075
133;82;6,29049049049049
135;80;6,45125125125125
131;75;6,26886886886887
131;69;6,06566566566567
131;66;6,22422422422422
135;73;6,03843843843844
131;69;6,04224224224224
130;69;5,81701701701702
131;70;5,92232232232232
221;72;5,98138138138138
132;68;5,97557557557558
247;170;5,91771771771772
292;73;5,71011011011011
135;67;5,77697697697698
130;65;5,62282282282282
228;82;5,70810810810811
133;66;5,64284284284284
136;74;5,53413413413413
134;62;5,43143143143143
134;129;5,39339339339339
322;72;5,4036036036036
131;67;5,36416416416416
131;65;5,34554554554555
132;69;5,45145145145145
132;61;5,24424424424424
134;72;5,23583583583584
132;64;5,25145145145145
136;57;5,11311311311311
139;69;5,23863863863864
137;66;4,95895895895896
132;73;4,8968968968969
133;70;5,00800800800801
130;89;4,8012012012012
146;63;5,06446446446446
135;60;4,98758758758759
133;60;4,83283283283283
131;96;4,86206206206206
200;61;4,9037037037037
132;67;4,60940940940941
132;59;4,68828828828829
134;57;4,55295295295295
137;88;4,7051051051051
320;58;4,35455455455455
135;59;4,56256256256256
139;70;4,56076076076076
135;56;4,46886886886887
137;54;4,35195195195195
138;103;4,32112112112112
307;90;4,47287287287287
195;57;4,27547547547548
253;101;4,32672672672673
135;57;4,20780780780781
136;59;4,30850850850851
134;62;4,26026026026026
134;60;4,16356356356356
131;58;4,14174174174174
133;51;4,001001001001
135;57;4,13593593593594
134;57;4,13013013013013
131;55;4,03883883883884
180;139;3,95575575575576
275;54;3,85145145145145
131;54;3,83903903903904
132;53;3,87107107107107
134;59;3,93213213213213
132;55;3,86106106106106
132;59;3,86726726726727
133;52;3,79359359359359
